num;name;is_company;parent_id;category_id;street;street2;zip;city;country;website;function;phone;mobile;fax;mail;title;comment;ref;lang;product_pricelist;product_pricelist_purchase;customer;supplier;opt_out;notification_email_send;payment_responsible;property_account_position;vat;vat_subjected;account_receivable;account_payable;property_payment_term;property_supplier_payment_term;fermeture;remarque com/cli;remarque fac/cli;adresse facturation;type;blocage;fsc;representant;representant_id;remarque transport;;;;address_type
14;PREMIER SACKS AND PACK;1;;;KING STREET - WOODFORD;;;CHESHIRE - SK7 1RL;GB;;;;;;;;;F02671;FR;;;0;1;1;;vciarniello;3;GB595755970;1;;;;;;;;;;;;;1;;;;;
15;TREBOR;1;;;ST BAVOSTRAAT 11;;B-2430;LAAKDAL;BE;;;014-86.79.85;;014-86.00.81;;;GSM NR 0477-36.79.85;F01821;FR;;;0;1;1;;vciarniello;1;BE0446094288;1;;;;;;;;;;;;;1;;;;;
16;4EVERYWARE STOCKLOTS;1;;Export;DE SONMAN 30;;NL-5066GJ;MOERGESTEL;NL;;;31.135810956;;;;BV;DESTOCKEUR;C02769;NL;;;1;0;1;;vciarniello;3;NL812611329B01;1;;;;;;;;;;0;0;;;;;;;
17;DE SONMAN 30;0;16;;;;NL-5066GJ;MOERGESTEL;;;;;;;;;;C02769/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
18;ABENA;1;;Export;EGELUND 35;;DK-6200;AABENRAA;DK;;;45.74.31.1818;;;;A/S;HAUT MAXI PAL 1;90 MFACTURER LES PAL EUR A 2.50 EURENVOYER FACTURE A INVOICE@ABENA.DK;C01856;EN;;;1;0;1;;vciarniello;3;DK25682742;1;;;;;;QTES MINIMUM A RESPECTER: 2 PAL EN RLX 50M ET 2PAL EN 90/90 2 PAL EN RLX POLYSOFT 25M / + FACTURER LES PSPAL (PALETTES EURO) 10 PALETTES AU SOL POUR FRANCO - REPRODUIRE RLX 50M PAR 10 PALETTES ET FAIRE DU STOCK;TR.BQ. CR GEN 197-0227372-38 / FACT AVEC TRAN;;;0;0;;;BOSMAN 03-350.13.11/FRANCO 10PAL SOL;;;
19;EGELUND 35;0;18;;;;DK-6200;AABENRAA;;;;;;;;;;C01856/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
20;ASHBY JORGENSEN ANETTE;0;18;;;;;;;;APPROS-CDES;45.74.31.18.12;;;ANA@abena.dk;;;C01856/C1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contact
21;RANDI ANDERSEN;0;18;;;;;;;;RESP ACHATS;;;;ran@abena.dk;;;C01856/C2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contact
22;ACCL;1;;Grossiste;RUE PIEDROUX 100;;4032;CHENEE;BE;;;;;;;;;C02642;FR;;;1;0;1;;vciarniello;1;BE0477486557;1;;;;;;;;;;0;0;;;;;;;
23;RUE PIEDROUX 100;0;22;;;;4032;CHENEE;;;;;;;;;;C02642/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
24;AES / INBOUND LOGISTICS;1;;Export;PROV.WEG 11- NL-1506 MA ZAANDAM;C/O P/A ACC PLAZA BV - PB340;NL-1520AH;WORMERVEER;NL;;;31.623947483;;;;BV;;C02762;NL;;;1;0;1;;vciarniello;3;NL009072767B01;1;;;;;;;;;;0;0;;;;;;;
25;NORBERT DENTRESSANGLE LOGISTIC NL;0;24;;LOGISTIEKWEG 15;;NL-4906 AB;OOSTERHOUT;;;;;;;;;;C02762/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
26;ALCAMPO  CODIGO 030;1;;;APARTADO DE CORREOS 36480;;E-28080;MADRID;ES;;;34917306666;;;;SA;;C02736;EN;;;1;0;1;;vciarniello;3;ESA28581882;1;;;;;;EX WORKS ; PAS DE QUANTITE MINIMUM EXIGEE;;;;0;0;;;EX WORKS;;;
27;PLATAFORMA BHT CODIGO 310;0;26;;CTRA.ALCALA - CARMAMA KM 3.5;;E-28816;CAMARMA DE ESTERUELAS;;;;;;;;;;C02736/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
28;ALDI DOS HERMANAS S.L.;1;;Export;C/TORE DE LOS HERBEROS S/N;;E-41703;DOS HERMANAS;ES;;;34.954930783;;;;;;C02779;EN;;;1;0;1;;vciarniello;3;ESB91405142;1;;;;;;;;;;0;0;;;;;;;
29;C/TORE DE LOS HERBEROS S/N;0;28;;;;E-41703;DOS HERMANAS;;;;;;;;;;C02779/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
30;ALDI INKOOP;1;;Export;KEERSTRAAT 4;;9420;ERPE-MERE;BE;;;053.82.72.72;;;;NV;;C02776;NL;;;1;0;1;;vciarniello;1;BE0428805821;1;;;;;;;;;;0;0;;;;;;;
31;ALDI ERPE-MERE N.V.;0;30;;KEERSTRAAT 4;;9420;ERPE-MERE;;;;;;;;;;C02776/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
32;ALDI GEMBLOUX SA;0;30;;PARC CREALYS;;5032;GEMBLOUX;;;;;;;;;;C02776/L2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
33;ALDI HEUSDEN-ZOLDER N.V.;0;30;;BOTERBOSSTRAAT 9 IZ ZOLDER 2106;;3550;HEUSDEN-ZOLDER;;;;;;;;;;C02776/L3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
34;ALDI RIJKEVORSEL;0;30;;IZ DE MEIREN-AMBACHTSWEG 8;;2310;RIJKEVORSEL;;;;;;;;;;C02776/L4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
35;ALDI ROESELARE N.V.;0;30;;KACHTEMSESTRAAT 200;;8800;ROESELARE;;;;;;;;;;C02776/L5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
36;ALDI VAUX-SUR-SURE S.A.;0;30;;PARC ARTISANAL DE VILLEROUX 4;;6640;VAUX-SUR-SURE;;;;;;;;;;C02776/L6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
37;ALDI ZEMST N.V.;0;30;;Z.GARGOVIL B-40 ERASMUSL;;1804;CARGOVIL-ZEMST;;;;;;;;;;C02776/L7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
38;J. PARREZ;0;30;;;;;;;;;053.82.72.72;;;;;;C02776/C1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contact
39;ALDI PINTO S.L.;1;;Export;C/AVUTARDAS;;E-28320;PINTO;ES;;;34.91.644.76.70;;;;;;C02780;EN;;;1;0;1;;vciarniello;3;ESB84160233;1;;;;;;;;;;0;0;;;;;;;
40;C/AVUTARDAS;0;39;;;;E-28320;PINTO;;;;;;;;;;C02780/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
41;ALDI SAN ISIDRO S.L.;1;;Export;POLIGONO IND. LA GRANADINA III;;E-03349;SAN ISIDRO (ALICANTE);ES;;;34.965.48.91.91;;;;;;C02781;EN;;;1;0;1;;vciarniello;3;ESB53948204;1;;;;;;;;;;0;0;;;;;;;
42;POLIGONO IND. LA GRANADINA III;0;41;;;;E-03349;SAN ISIDRO (ALICANTE);;;;;;;;;;C02781/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
43;ALDI SUPERMERCADOS S.L.;1;;Export;C/ALEMANYA 5;;E-08783;MASQUEFA (BARCELONA);ES;;;34.93.773.97.40;;;;;;C02777;EN;;;1;0;1;;vciarniello;3;ESB63667109;1;;;;;;;;;;0;0;;;;;;;
44;ALDI MASQUEFA SUPERMERCADOS SL;0;43;;C/ALEMANYA 5;;E-08783;MASQUEFA (BARCELONA);;;;;;;;;;C02777/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
45;ALDI DOS HERMANAS SUPERMERCADO;0;43;;TORRE DE LOS HERBEROS;;E-41703;DOS HERMANAS;;;;;;;;;;C02777/L2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
46;ALDI PINTO SUPERMERCADOS;0;43;;CALLE DE LAS AVUTARDAS;;E-28320;PINTO;;;;;;;;;;C02777/L3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
47;ALDI SAN ISIDRO SUPERMERCADOS;0;43;;POLIGONO IND. LA GRANADINA III;;E-03349;SAN ISIDRO (ALICANTE);;;;;;;;;;C02777/L4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
48;VIDAL S;0;43;;;;;;;;;;;;;;;C02777/C1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contact
49;ALLEUR EMBALL;1;;Grossiste;RUE DES TECHNOLOGIES 2B;;4432;ALLEUR;BE;;;04.227.17.69;;;;SPRL;;C02672;FR;;;1;0;1;;vciarniello;1;BE0884029195;1;;;;;;EN CONGE DU 30/6 AU 08/07/14 INCLUS;;;;0;0;;;;;;;
50;RUE DES TECHNOLOGIES 2B;0;49;;;;4432;ALLEUR;;;;;;;;;;C02672/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
51;ALRIK HEDLUND AB;1;;Export;TIDSTRANDSVAGEN 1;;S-79022;SAGMYRA;SE;;;;;;;;"ANCIENNEMENT ""AXEL ELISASON""";C00125;EN;;;1;0;1;;vciarniello;3;SE556055800801;1;;;;;;;;;;0;0;;1;EX WORKS;;;;
52;EBBE LIEBERATHSGATAN 22;0;51;;;;S-41265;G0TEBORG;;;;;;;;;;C00125/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
53;TIDSTRANDSVﾄGEN 1;0;51;;;;S-79022;SAGMYRA;;;;;;;;;;C00125/L2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
54;ALUPLAST;1;;Export;9 ROUTE DE BU;Z.A. DE LA PREVOTE;F-78550;HOUDAN;FR;;;134.94.25.45;;;;;;C02660;FR;;;1;0;1;;vciarniello;3;FR34448179648;1;;;;;;;;;;0;0;;;;;;;
55;9 ROUTE DE BU;0;54;;ZA DE LA PREVOTE;;F-78550;HOUDAN;;;;;;;;;;C02660/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
56;AMERIKAANS STOCKHUIS;1;;Grossiste;LIERSESEENWEG 162;;2520;EMBLEM;BE;;;;;;;;;C02656;NL;;;1;0;1;;vciarniello;1;BE0702224966;1;;;;;;;;;;0;0;;;;;;;
57;LIERSESEENWEG 162;0;56;;;;2520;EMBLEM;;;;;;;;;;C02656/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
58;AMSCAN INTERNATIONAL LIMITED;1;;Export;ACCOUNTS PAYABLE;BRUDENLL DRIVE; BRINKLOW;GB-MK10 0A;MILTON KEYNES BUCKS;GB;;;441908288500;;;;;LIVR ACCRINGTON J.WHITEHEAD 0044-7810.8988.03LIVR MK PERRY KNIGHT 0044-1908.288.564 pknight@amscan-uk.co.ukLIVR BAKRO MARK SIMMONDS mark@bakro.com 0044-1908 611711LIVR SAI LOGISTICS INFO@SAILOGISTICS.COM 0044 1908 228800;C02724;EN;;;1;0;1;;vciarniello;3;GB443864824;1;;;;;;;;;;0;0;;4;VOIR ZONE 26;;;
59;BRUDENLL DRIVE; BRINKLOW;;58;Delivery;;;;GB-MK10 0DA;MILTON KEYNES BUCKS;;;;;;;;;;C02724/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;0
60;J&K WAREHOUSING;0;58;;UNT5/6 SPRINGHILL WKS EDDLESTON ST;;GB-BB5 OHG;ACCRINGTON;;;;;;;;;;C02724/L2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
61;SMURFIT KAPPA;0;58;;ROBJOHNS ROAD - WIDFORD IND.ESTATE;;GB-CM1 3BB ;CHELMSFORD;;;;;;;;;;C02724/L3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
62;BAKRO INTERNATIONAL - TESA BUILDING;0;58;;YEOMANS DRIVE - BLAKELANDS;;GB-MK14 5LS;MILTON KEYNES;;;;;;;;;;C02724/L4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
63;GRAND UNION HOUSE;0;58;;OLD WOLVERTON ROAD;;GB-MK12 5PT;MILTON KEYNES BUCKS;;;;;;;;;;C02724/L5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
64;FURNITURE VILLAGE - ATLANTIC HOUSE;0;58;;1 MICHIGAN DRIVE - TONGWELL;;GB-MK15 8HQ;MITLON KEYNES;;;;;;;;;;C02724/L6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
65;NAYLOR EMMA;0;58;;;;;;;;PURCH.CONTROL;44.1908.288.578;;;enaylor@amscan-uk.co.uk;;;C02724/C1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contact
66;ARC DISTRIBUTION FRANCE;1;;Export;PARC DU CHATEAU BLANC;15 ALLEE DU CHATEAU BLANC CS 60204;F-59445;WASQUEHAL CEDEX;FR;;;33.320115260;;;;;FACT.TOTALE CHEZ ARC(CALLENS)MME CAGLIANA COMPTA Apparemment;legroupe dont d�pend Arc(Durand Industries);ne serait pas entr�sbonne sant�(08/2007).Ne pas d�passer la limite de cr�ditaccord�e. Quelques incidents recens�s.;C02657;FR;;;1;0;1;;vciarniello;3;FR23403163173;1;;;;;;FRAIS CYLINDRES: 600 EUR FRAIS DESSIN: 130.15 A FACTURER CHEZ ROCHE LIVRAISONS: CALLENS 24H - ROCHE/VAC HAUD 48H SI GROUPAGE LIMITE CREDIT PASSEE A 150000 EUR JLC A INFORME ARC/CODIMA QUE 100000 EUR ET NON 150000 EUR !!!;IBAN NR FR76 3000 3015 2200 0200 5970 972;;;0;0;;2;BIC SOGEFRPP;;
67;SITE NORD CALLENS LESAGE;0;66;;RUE DU VERTUQUET 9;;F-59960;NEUVILLE EN FERRAIN CDX;;;;;;;;;;C02657/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
68;SITE SUD DE VACHAUD DISTRIBUTION;0;66;;AV PAVLOV ZI SAINT CESAIRE BP 60;;F-30932;NIMES;;;;;;;;;;C02657/L2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
69;CALLENS - VACHAUD;0;66;;A RECONFIRMER A LA LIVRAISON;;F-00000;0;;;;;;;;;;C02657/L3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
70;SITE OUEST DE ROCHE FORTUNE;0;66;;ROUTE SAINT MAIXENT 10;;F-79200;POMPAIRE;;;;;;;;;;C02657/L4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
71;ASPETI (AUCHAN ROUMANIE);1;;;STR. CAMINULUI 76 SAT MANOLACHE;COMUNA GLINA;RO-077105;ILFOV;RO;;;40213233062;;;;SRL;;C02732;EN;;;1;0;1;;vciarniello;3;RO4312935;1;;;;;;;;;;0;0;;;EX WORKS;;;;
72;STR.CAMINULUI NR 76 SAT MANOLACHE;0;71;;COMUNA GLINA;;RO-077105;ILFOV;;;;;;;;;;C02732/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
73;ANDREI MACIUCA;0;71;;;;;;;;;;;;andrei@aspeti.ro;;;C02732/C1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contact
74;ASTER;1;;Export;DOBROLUBOVA STR 3 B1;;R-127254;MOSCOW;RU;;;;;;;OOO;EX WORKS. BIEN VERIFIER LEUR NUMERO INN (=identifiant local).LIMITE CREDIT REFUSEE CAR RENTABILITE FORTEMENT DEGRADEE;FAIBLE CAPITALISATION; TENSIONS DE TRESORERIE.;C02727;EN;;;1;0;1;;vciarniello;2;INN7713537993;1;;;;;;;;;;0;0;;;;;
75;DOBROLUBOVA STR 3B 1;0;74;;;;R-127254;MOSCOW;;;;;;;;;;C02727/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
76;OLGA;0;74;;;;;;;;;7.4956044848;;;;;;C02727/C1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contact
77;"ASTER ""COMPANY"" ";1;;Export;DOBROLUBOVA STR.;3;B.1;;R-127254;MOSCOW;RU;;;74956044848;;;;OOO;EX WORKS01/2013 : PAS DE LIMITE DE CREDIT CAR ENTREPRISE DE CREATIONRECENTE.10/2013 : TOUJOURS PAS DE LIMITE CREDIT CAR DERNIERS COMPTESNON DISPONIBLES SELON LA COFACE.;C02775;EN;;;1;0;1;;vciarniello;2;INN7715882554;1;;;;;;;;;;0;0;;;;;
78;DOBROLUBOVA STR.;3;B.1;77;Delivery;;;;R-127254;MOSCOW;;;;;;;;;;C02775/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;ASTER Z.A.O;1;;Export;DOBROLUBOVA STR. 3/5;OFFICE ASTER;R-127254;MOSCOW;RU;;;74956044848;;;;;EXTENSION 124 (Olga) - ENVOYER COPIE FACTURE CHEZ EBF AU 087-31.31.89 / CHAUFFEUR DOIT ALLER CHERCHER DOCUMENT EX1LIMITE CREDIT REFUSEE CAR RENTABILITE FORTEMENT DEGRADEE.FAIBLE CAPITALISATION. TENSIONS DE TRESORERIE.;C02652;EN;;;1;0;1;;vciarniello;2;INN7713327731;1;;;;;;;;;;0;0;;;EX-WORKS;;;;
80;Dobrolubova str. 3/5;0;79;;;;R-127254;MOSCOW;;;;;;;;;;C02652/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
81;Ilmenskij proezd 17;0;79;;;;R-127206;MOSCOW;;;;;;;;;;C02652/L2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
82;Olga TRISHKINA;0;79;;;;;;;;Purchaser;70952044848;;;trishkina@aster.ru;;;C02652/C1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contact
83;ATAC;1;;Grossiste;TSA 80811;CODE FOURNISSEUR 019133;F-62971;ARRAS CEDEX 09;FR;;;33.322674918;;;;;CONTACT : MAGALIE JUDLIN COMMANDES ET PRISES RV+33.322.67.49.18FACTURE ORIGINALE A ARRAS; toute autre correspondance(duplicata; lettres de relance; relev� factures) DIRECTEMENTA L'ENTREPOT CONCERNE (voir mail 30/12/13 Annie Tarlet);C02612;FR;;;1;0;1;;vciarniello;3;FR43410409015;1;;;;;;!! NOUV ADRESSE FACTURATION AU 01/01/14 REMISE SI COMMANDE PAR 15 OU 20 PAL COURNON+STRASBOURG 48H AMIENS: livr 24H FRANCO MINIMUM 5 PALETTES. STOCK COMME AUCHAN;REMISES PAR 15 ET 20 PALETTES-> VOIR REMARQUE;;;0;0;;2;RV 322674918 - MAGALI JUTLIN;
84;Entr. ATAC SIMPLY MARKET 00214;0;83;;31 AVENUE ROGER DUMOULIN;;F-80000;AMIENS CEDEX 1;;;;;;;;;;C02612/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
85;Entr.ATAC PGC LOGISTIQUE EST 00201;0;83;;ZI PORT.SUD EUROFRET-RUE BIARRITZ 4;;F-67100;STRASBOURG;;;;;;;;;;C02612/L2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
86;Entr. ATAC PGC 00207;0;83;;ZI Les Cochets rue du Poitou;;F-91220;BRETIGNY SUR ORGE;;;;;;;;;;C02612/L3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
87;Entr. ATAC 00218;0;83;;66 Avenue du Midi-ZI du Bois Joli;;F-63800;COURNON D'AUVERGNE;;;;;;;;;;C02612/L4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
88;MARIE JEANNE ILDISS;0;83;;;;;;;;APPROS;;;;mjidliss@atac.fr;;;C02612/C2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contact
89;MR KLEIN;0;83;;;;;;;;APPROS;;;;lklein@atac.fr;;;C02612/C3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contact
90;MARIE FRANCOISE PIREYRE;0;83;;;;;;;;APPROS;;;;mfpireyre@atac.fr;;;C02612/C4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contact
91;MAGALIE JUDLIN;0;83;;;;;;;;;;;;;;;C02612/C5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contact
92;AUCHAN CENTRALE D'ACHATS;1;;Export;CSP COMPTA FOURNISSEUR ENTREPOT;Colibri 4Et 200 RUE DE LA RECHERCHE;F-59650;VILLENEUVE D'ASCQ;FR;;;;;;;SA;PERMANENT: VILLABE: tel 169644719-fax 169644717 IENA2/LESQUIN 3CORINNE GUILBERT - TEL. 0033320491307 - FAX 0033320675089ENT MEYZIEU 33.478.04.52.87 -rdv.livraisons.meyzieu@auchan.frRV 5H-12H30 - RECEPTION 6H-10H30ENT LESQUIN 00.33.320.49.64.35 - FAX 00.33.320.49.65.02INTERLOCUTEUR DOMINIQUE - RV 6H-13H - RECEPTION 6H-11H30;C02610;FR;;;1;0;1;;vciarniello;3;FR20410409460;1;;;;;;ATTENTION AUX ADRESSES DE FACTURATION VERIFIER SI ADRESSE CORRESPOND BIEN A ADRESSE DE LIVRAISON MEYZIEU: 48H PR LIVRAISON ATTENTION CDE NOEL VILLABE PRENDRE ADRESSE 4;;;;0;0;;2;RV PAR FAX UNIQ. 33169644717;;;;
93;SA AUCHAN FRANCE (VILLABE);0;92;;ENT 802 A 778 BAZAR IDF;;F-62971;ARRAS CEDEX 9;;;;;;;;;;C02610/F1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Invoice
94;ZAC BRATEAUX;0;92;;RUE DES 44 ARPENTS BAT B OU C DHL;;F-91100;VILLABE;;;;;;;;;;C02610/L1;;;;;;;;;;;;;;;;;;;93;;;;;;;;;;Delivery
95;SA AUCHAN FRANCE (LESQUIN);0;92;;ENT 802 A 172 BAZAR NORD;;F-62971;ARRAS CEDEX 9;;;;;;;;;;C02610/F2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Invoice
96;AUCHAN LESQUIN IENA;0;92;;RUE D'IENA;;F-59817;LESQUIN;;;;;;;;;;C02610/L2;;;;;;;;;;;;;;;;;;;95;;;;;;;;;;Delivery
97;SA AUCHAN FRANCE;0;92;;ENT 803 A 183 BAZAR SUD;;F-62971;ARRAS CEDEX;;;;;;;;;;C02610/F3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Invoice
98;ENTREPOT AUCHAN MEYZIEU;0;92;;18 RUE JEAN JAURES;;F-69330;MEYZIEU;;;;;;;;;;C02610/L3;;;;;;;;;;;;;;;;;;;97;;;;;;;;;;Delivery
99;SA AUCHAN FRANCE (VILLABE);0;92;;ENT 802 A 372 BAZAR IDF;;F-62971;ARRAS CEDEX 9;;;;;;;;;;C02610/F4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Invoice
100;ZAC BRATEAUX;0;92;;RUE DES ARPENTS BAT B OU C DHL;;F-91100;VILLABE;;;;;;;;;;C02610/L4;;;;;;;;;;;;;;;;;;;99;;;;;;;;;;Delivery
101;COMPTABILITE 802;0;92;;80 BD DE LA LOUVIERE;;F-59817;LESQUIN;;;;;;;;;;C02610/F5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Invoice
102;ENTREPOT AUCHAN SQF1;0;92;;PA DE CH MORELLON RUE DES CHAPELLES;;F-38070;ST QUENTIN FALLAVIER;;;;;;;;;;C02610/L5;;;;;;;;;;;;;;;;;;;101;;;;;;;;;;Delivery
103;AUCHAN FRANCE SA LOG ILE DE FRANCE;0;92;;SERV.COMPTAUC838 BD DE BEAUBOURG 37;;F-77184;EMERAINVILLE;;;;;;;;;;C02610/F6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Invoice
104;AUCHAN FRANCE SA LOG ILE DE FRANCE;0;92;;SERV.COMPTAUC838 BD DE BEAUBOURG 37;;F-77184;EMERAINVILLE;;;;;;;;;;C02610/L6;;;;;;;;;;;;;;;;;;;103;;;;;;;;;;Delivery
